iter	Passed	Remaining
999	37822	18911
1000	37857	18872
1001	37891	18832
1002	37925	18792
1003	37962	18754
1004	37997	18715
1005	38034	18677
1006	38071	18639
1007	38108	18600
1008	38142	18560
1009	38178	18522
1010	38213	18483
1011	38252	18445
1012	38401	18461
1013	38445	18426
1014	38487	18390
1015	38521	18350
1016	38555	18311
1017	38590	18271
1018	38625	18232
1019	38661	18193
1020	38700	18156
1021	38741	18119
1022	38775	18080
1023	38812	18041
1024	38859	18007
1025	38904	17973
1026	38944	17936
1027	38980	17897
1028	39015	17858
1029	39049	17818
1030	39082	17778
1031	39121	17741
1032	39158	17702
1033	39190	17662
1034	39224	17622
1035	39259	17583
1036	39294	17544
1037	39331	17505
1038	39371	17468
1039	39482	17463
1040	39528	17428
1041	39566	17391
1042	39603	17352
1043	39637	17313
1044	39671	17273
1045	39706	17234
1046	39741	17194
1047	39778	17156
1048	39812	17116
1049	39845	17076
1050	39881	17037
1051	39916	16998
1052	39965	16965
1053	40008	16929
1054	40043	16890
1055	40078	16851
1056	40113	16811
1057	40149	16773
1058	40185	16734
1059	40223	16696
1060	40260	16658
1061	40293	16618
1062	40328	16579
1063	40363	16540
1064	40398	16500
1065	40439	16464
1066	40582	16468
1067	40617	16429
1068	40656	16391
1069	40690	16352
1070	40726	16313
1071	40760	16273
1072	40794	16234
1073	40831	16195
1074	40871	16158
1075	40907	16119
1076	40943	16080
1077	40984	16044
1078	41033	16010
1079	41068	15970
1080	41106	15933
1081	41141	15893
1082	41175	15854
1083	41210	15815
1084	41248	15777
1085	41280	15736
1086	41315	15697
1087	41349	15658
1088	41387	15620
1089	41420	15580
1090	41455	15541
1091	41490	15501
1092	41661	15513
1093	41711	15479
1094	41746	15440
1095	41780	15400
1096	41813	15360
1097	41848	15321
1098	41888	15284
1099	41925	15245
1100	41959	15206
1101	41995	15167
1102	42030	15127
1103	42065	15088
1104	42104	15050
1105	42171	15023
1106	42211	14985
1107	42247	14946
1108	42282	14907
1109	42319	14869
1110	42356	14830
1111	42389	14790
1112	42424	14751
1113	42460	14712
1114	42493	14672
1115	42529	14633
1116	42566	14595
1117	42601	14556
1118	42636	14516
1119	42750	14504
1120	42819	14476
1121	42857	14438
1122	42895	14400
1123	42934	14362
1124	42986	14328
1125	43028	14291
1126	43076	14256
1127	43128	14223
1128	43179	14189
1129	43320	14184
1130	43369	14149
1131	43416	14114
1132	43468	14080
